table_name,column_name,data_type,is_nullable,default_value,is_primary_key,description
collaborations,id,bigint,NO,GENERATED BY DEFAULT AS IDENTITY,YES,Unique primary key identifier for collaboration request
collaborations,name,text,NO,,NO,Partner or client full name submitted from the Let's Collaborate form
collaborations,email,text,NO,,NO,Contact email address for collaboration correspondence
collaborations,project_type,text,YES,'Financial Modeling & Valuation',NO,Selected project type dropdown value
collaborations,message,text,YES,,NO,Project requirements and message content
collaborations,status,text,YES,'Pending',NO,Current inquiry status (Pending / In Review / Contacted / Completed)
collaborations,created_at,timestamptz,YES,now(),NO,Timestamp when collaboration form was submitted
feedback,id,bigint,NO,GENERATED BY DEFAULT AS IDENTITY,YES,Unique primary key identifier for feedback record
feedback,rating,integer,YES,5,NO,1 to 5 star rating value selected using star icons
feedback,suggestion,text,NO,,NO,Reader suggestions and feedback text content
feedback,name,text,YES,'Anonymous Reader',NO,Optional name of the reader who submitted feedback
feedback,email,text,YES,,NO,Optional email of the reader who submitted feedback
feedback,article_id,bigint,YES,,NO,Optional article ID reference if feedback was given on a specific post
feedback,created_at,timestamptz,YES,now(),NO,Timestamp when reader feedback was submitted
comments,id,bigint,NO,GENERATED BY DEFAULT AS IDENTITY,YES,Unique primary key identifier for article comment
comments,article_id,bigint,NO,,NO,Foreign key / reference ID of the article being commented on
comments,author,text,YES,'Anonymous Analyst',NO,Author name or designation of the person commenting
comments,content,text,NO,,NO,Comment text content displayed in the thread below action bar
comments,created_at,timestamptz,YES,now(),NO,Timestamp when comment was posted
articles,likes,integer,YES,0,NO,Added column to track live like counts toggled via Heart action bar
articles,is_trending,integer,YES,0,NO,Added column for Owner-pinned trending toggle
articles,views,integer,YES,0,NO,Added column to track total article visit clicks
