Table Name,Column Name,Data Type,Constraints & Defaults,Required / New,Description & Purpose
collaborations,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,NEW Table,Unique auto-incrementing ID for collaboration requests
collaborations,name,text,NOT NULL,NEW Table,Partner or client full name submitted via Let's Collaborate form
collaborations,email,text,NOT NULL,NEW Table,Contact email address for collaboration correspondence
collaborations,project_type,text,DEFAULT 'Financial Modeling & Valuation',NEW Table,Selected project category (e.g. DCF Valuation, Strategy, Web App)
collaborations,message,text,NULLABLE,NEW Table,Detailed project requirements or message scope
collaborations,status,text,DEFAULT 'Pending',NEW Table,Workflow status ('Pending', 'In Review', 'Contacted', 'Completed')
collaborations,created_at,timestamptz,DEFAULT NOW(),NEW Table,Submission timestamp for Admin Dashboard tracking
feedback,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,NEW Table,Unique auto-incrementing ID for reader feedback entries
feedback,rating,integer,DEFAULT 5,NEW Table,Star rating from 1 to 5 stars submitted via Article Feedback
feedback,suggestion,text,NOT NULL,NEW Table,Reader comments, critique, or requested future research topics
feedback,name,text,DEFAULT 'Anonymous Reader',NEW Table,Optional reader name or organization
feedback,email,text,NULLABLE,NEW Table,Optional reader email address
feedback,article_id,bigint,NULLABLE,NEW Table,Optional link to specific article ID
feedback,created_at,timestamptz,DEFAULT NOW(),NEW Table,Submission timestamp
comments,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,NEW Table,Unique auto-incrementing ID for article comments
comments,article_id,bigint,NOT NULL,NEW Table,ID of the article this comment belongs to
comments,author,text,DEFAULT 'Anonymous Analyst',NEW Table,Name / designation of the comment author
comments,content,text,NOT NULL,NEW Table,Comment text content displayed in live thread below action bar
comments,created_at,timestamptz,DEFAULT NOW(),NEW Table,Timestamp when the comment was posted
articles,likes,integer,DEFAULT 0,NEW Column,Live like count incremented by the Heart engagement button
articles,is_trending,integer,DEFAULT 0,Existing/Required,Owner-pinned trending toggle (1 for pinned, 0 for auto rank)
articles,views,integer,DEFAULT 0,Existing/Required,Live visit and view counter per published article
articles,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,Existing/Required,Unique ID for each insight article
articles,title,text,NOT NULL,Existing/Required,Article title
articles,content,text,NOT NULL,Existing/Required,Full markdown body of the research article
articles,excerpt,text,NULLABLE,Existing/Required,Short summary displayed on cards and hero selection
articles,category,text,NOT NULL,Existing/Required,Topic category (e.g. Financial Valuation, Macroeconomics)
articles,thumbnail_url,text,NULLABLE,Existing/Required,Cover image URL
articles,author,text,DEFAULT 'Tushar Singh, CFA',Existing/Required,Author name
articles,read_time,text,DEFAULT '5 min read',Existing/Required,Estimated read duration
articles,created_at,timestamptz,DEFAULT NOW(),Existing/Required,Publication timestamp
certifications,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,Existing/Required,Unique ID for accredited license credentials
certifications,title,text,NOT NULL,Existing/Required,Title of the certification or license
certifications,issuer,text,NOT NULL,Existing/Required,Issuing organization (e.g. Caplexus Capital, PwC India)
certifications,dates,text,NULLABLE,Existing/Required,Validity period (e.g. Issued Jul 2026 – Expires Jul 2030)
certifications,icon,text,DEFAULT 'Award',Existing/Required,Lucide icon identifier ('Award', 'BadgeCheck')
certifications,article_id,bigint,NULLABLE,Existing/Required,Linked article ID to display verified badge on post
certifications,article_title,text,NULLABLE,Existing/Required,Cached article title for credential card
certifications,article_content,text,NULLABLE,Existing/Required,Credential summary text
certifications,insights,text,NULLABLE,Existing/Required,JSON stringified bullet points of key takeaways
certifications,excel_url,text,NULLABLE,Existing/Required,Public URL for downloadable Excel financial model
certifications,excel_name,text,NULLABLE,Existing/Required,File name for Excel download button
certifications,cert_doc_url,text,NULLABLE,Existing/Required,Public URL for attached Certificate PDF/Image
certifications,cert_doc_name,text,NULLABLE,Existing/Required,File name for Certificate download button
certifications,status,text,DEFAULT 'Verified',Existing/Required,Verification status
certifications,created_at,timestamptz,DEFAULT NOW(),Existing/Required,Creation timestamp
categories,id,bigint,GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY,Existing/Required,Unique ID for dynamic insight categories
categories,name,text,NOT NULL UNIQUE,Existing/Required,Unique category name (e.g. Stocks, DeFi 3.0)
categories,created_at,timestamptz,DEFAULT NOW(),Existing/Required,Creation timestamp
site_stats,key,text,PRIMARY KEY,Existing/Required,Analytics metric key ('total_visits', 'total_clicks')
site_stats,value,integer,DEFAULT 0,Existing/Required,Counter value for website visitors and engagement clicks
